,publisher,synopsis,language,image,title_long,edition,dimensions,pages,date_published,subjects,authors,title,isbn13,msrp,binding,isbn,isbn10,other_isbns,related
0,HarperFlamingoCanada,Giller Prize Winner 2001. Richard B. Wright. A Phyllis Bruce Book.,en,https://images.isbndb.com/covers/50/12/9780002005012.jpg,Clara Callan: A novel,1st,"Height: 11.11 Inches, Length: 6.11 Inches, Weight: 1 Pounds, Width: 1.11 Inches",414.0,2001,"['Women Teachers', 'Young Women', 'Actresses', 'Sisters']","['Wright, Richard Bruce']",Clara Callan: A novel,9780002005012,0.00,Hardcover,0002005018,0002005018,,
1,HarperCollins Publishers,"When A Six-year-old Child Named Turtle Is The Sole Witness To A Freak Accident At The Hoover Dam, She And Her Adoptive Mother Taylor Have A Moment Of Celebrity That Will Change Their Lives Forever. Turtle Is Claimed By Annawake Fourkiller, A Cherokee Activist, To Have Been Wrongly Taken From The Cherokee Nation. Fear Of Losing Turtle Sends Taylor Fleeing Across The Country With Her Mother Alice, Pursued By Annawake. In The Course Of Their Journey, The Three Find Love And Wisdom In Surprising Places. By Barbara Kingsolver.",en,https://images.isbndb.com/covers/80/18/9780060168018.jpg,Pigs in Heaven,First Edition,Weight: 1 Pounds,288.0,1993,,"['Kingsolver, Barbara']",Pigs in Heaven,9780060168018,23,Hardcover,0060168013,0060168013,,
2,HarperCollins,"Standing Firm Leaves No Doubt That Dan Quayle Is The Most Misjudged Figure In Modern Political History. Prior To 1988, Quayle Had Never Lost An Election. Not For Congress. Not Even For The Senate. Heading Into That Year's Republican Convention, Quayle Was Considered One Of The Party's Brightest Young Stars - A Man Of Unusual Political Instincts Who, When It Came To Campaigning, Had A Reputation As A Giant Killer. He Would Become The First In His Generation To Hold National Office, But Only After A Tumultuous Contest That Frequently Put Him On The Defensive. With Gritty Honesty And Admirable Self-deprecation, Quayle Describes What It Was Like To Weather That 1988 Media Storm, And The Other Squalls That Followed. Poignantly, He Also Talks Of The Self-confidence And Christian Faith That Gave Him The Courage To Stand Firm And Record Some Of The Most Noteworthy Contributions Of Any Vice President Ever. Among The High Points: His Coordination Of America's Response To A Coup Attempt In The Philippines, The Details Of Which Have Never Been Reported; His Bringing The Family-values Issue To The Fore With The Murphy Brown Speech - A Call For Action That, One Year Later, Would Even Draw Support From Democratic President Bill Clinton; His Use Of The White House Competitiveness Council To Curtail Harmful Overregulation; His Unreported Diplomacy With Latin American Leaders; And His Championing Of Legal Reform, Which Would Earn Him The Strongest Praise Of His Vice-presidency. Quayle Pulls No Punches When It Comes To Assessing Himself And Other Players In The Bush Administration - The Men And Women Who Were His Allies, And Sometimes His Opponents, In Helping George Bush Spread Democracy Around The World. He Shares Entries From His Diary Of The Persian Gulf Crisis, Offers A Surprising Snapshot Of What The Typical Bush Cabinet Meeting Was Like, Describes Intramural Battles Waged By White House Power Brokers, And Reveals His Special Relationship With The President. Quayle, A Former Journalist, Interviewed Several Members Of The Press For This Book, And Their Contributions Form A Vital Part Of Its Fabric. Standing Firm Is Perhaps Most Intriguing In Its Analysis Of What Went Wrong In The 1992 Election. Quayle Does Not Hesitate To Place Blame Where It Is Deserved - In Fact, He Reserves Some Of The Strongest Criticism For Himself. Throughout, The Portrait That Emerges Of The Former Vice President Is That Of A Man Whose Good Humor Is Exceeded Only By A Competence For Which He Has Never Been Fully Credited. Winning And Losing (1988): Pushing Through The Plaza ; The Short List ; Feeding Frenzy ; The Battle Of Huntington ; Being Handled ; You're No Jack Kennedy ; Winning And Losing ; Transition -- The Quayle Model (1989): Setting Up Shop ; President George Bush ; Face Time ; Thurs., 12:00 Noon, Lunch With Pres. ; The Man Who Wasn't There ; Meeting The Media ; Flaps, Gaffes-and Serious Diplomacy ; Saving Aquino ; Nailing Noriega -- Beyond The Cold War (1990): Latin America : An Inagural Quartet ; The Former Soviet Union ; Rockets And Red Tape ; The Pre-plummet Summit ; A Line In The Sand -- Daring And Drift (1991): Desert Storm Diary : Part One ; Desert Storm Diary : Part Wo ; Domestic Drift ; A Heartbeat Away ; A High-tech Lyching? ; Too Many Laws ; Too Many Lawyers -- Losing And Winning (1992): Trouble On The Right ; Clinton And Perot ; Murphy And Me ; Baked, Mashed, And Fried ; Dump Quayle ; How To Lose And Election ; Keeping Faith. Dan Quayle. Appendix: Selected Speeches: P. [367]-387. Includes Index.",en,https://images.isbndb.com/covers/75/84/9780060177584.jpg,Standing Firm,1,Weight: 1.75 Pounds,402.0,1994,,"['Quayle, Dan']",Standing Firm,9780060177584,1.99,Hardcover,0060177586,0060177586,,
3,Harper & Row Publishers,,en,https://images.isbndb.com/covers/40/66/9780060914066.jpg,"Love, Medicine & Miracles by Bernie S. Siegel (1986-05-03)",1rst prennial Library Edit,Weight: 0.8 Pounds,243.0,1986,,"['Siegel, Bernie S.']","Love, Medicine & Miracles by Bernie S. Siegel (1986-05-03)",9780060914066,0.00,Paperback,0060914068,0060914068,,
4,HarperCollins,"<p>this Sometimes Funny, Often Sad, But Completely True Story Examines The Fortunes Of The Family Of Novelist Sarah Payne Stuart. Stuart Recalls The Struggles Of An Aristocratic Family Whose Sense Of Privilege And Entitlement Belied The Fact Their Wealth Was No More. In Addition To Their Financial Struggles, Several Members Of The Family (including Stuart's Brother And Her Famous First Cousin, Poet Robert Lowell) Wound Up In Mental Institutions.their Struggle To Keep Up A Proper Facade, Even As Their World Crumbled Around Them, Makes A Bittersweet Tale That Will Inspire Laughter And Tears.</p> <h3>seattle Weekly</h3> <p>stuart Is A Deft Writer Who Knows How To Snare Her Audience With Brilliant, Bitter-black Humor While Touching Lightly But With Sure, Probing Fingers Each Of Our Darker Fears, Our Least Favorite Wounds. . . .an Irreverent And Clear-sighted Mediation On The Claustrophobic Yet Seductive Bonds Of Family, As Well As An Intimate Portrait Of A Famous Man, <i>my First Cousin Once Removed</i> Is A Wry And Haunting Story Of Survival In The Midst Of Instability And Dynastic Decline.</p>",en,https://images.isbndb.com/covers/03/63/9780060930363.jpg,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",First Edition,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.64 Pounds, Width: 0.554113 Inches",260.0,1999,,"['Stuart, Sarah Payne']","My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",9780060930363,13.95,Paperback,0060930365,0060930365,,
5,William Morrow Paperbacks,"<p>From: Venus, Goddess of Love, 120 Main, Mt. Olympus</p>
<p>To: Stacy Temple, lapsed temptress</p>
<p>Stacy, Stacy, Stacy.</p>
<p>You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com — and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! — that you haven't even tried to be coaxed out of your own thong.com!</p>
<p>Are you listening, Stacy? Seven days to find the perfect man — or else!</p>
<p>Happy hunting!</p>",en,https://images.isbndb.com/covers/84/13/9780060938413.jpg,The Accidental Virgin: A Novel,1,"Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.47 Pounds, Width: 0.648649 Inches",277.0,2003,"['Separation (Psychology)', 'Separation (Psychology)--Fiction', 'Dating (Social customs)', 'Dating (Social customs)--Fiction', 'PS3556.R3358 A64 2003', '813/.54']","['Frankel, Valerie']",The Accidental Virgin: A Novel,9780060938413,13.95,Paperback,0060938412,0060938412,"[{'isbn': '9780061839900', 'binding': 'print'}]",
6,HarperPerennial,"By Carlo D'este. Reprint. Originally Published: W. Collins & Sons, 1983. Includes Bibliographical References (p. 521-525) And Index.",en,https://images.isbndb.com/covers/31/24/9780060973124.jpg,Decision in Normandy,1st Harper Perennial ed,"Height: 7.9 Inches, Length: 1.2 Inches, Weight: 1.21033781838 Pounds, Width: 5.3 Inches",555.0,1991,"['World War, 1939-1945--Campaigns', 'World War, 1939-1945--Campaigns--France--Normandy', 'History', 'D756.5.N6 D47 1991', '940.54/2142']","[""D'Este, Carlo""]",Decision in Normandy,9780060973124,0.00,Paperback,0060973129,0060973129,"[{'isbn': '9781635762150', 'binding': 'print'}]",{'ePub': '1635762154'}
7,HarperEntertainment,,en,https://images.isbndb.com/covers/60/39/9780061076039.jpg,Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),,"Height: 7.5 Inches, Length: 4.25 Inches, Weight: 0.22 Pounds, Width: 0.5 Inches",128.0,2000,,"['Olsen, Mary-Kate & Ashley']",Mary-Kate & Ashley Switching Goals (Mary-Kate and Ashley Starring in),9780061076039,0.00,Paperback,0061076031,0061076031,,
8,HarperTorch,"<p><p>the Year Is 1966, A Time Of Innocence, Possibility, And Freedom. And For Atlanta, The Country, And One Woman Making Her Way In A Changing World, Nothing Will Be The Same . . .<p>after An Airless Childhood In Savannah, Smoky O'donnell Arrives In Atlanta, Dazzled And Chastened By This Hectic Young City On The Rise. Her New Job As A Writer With The City's Downtown Magazine Introduces Her To Many Unforgettable People And Propels Her Into The Center Of Momentous Events That Will Irrevocably Alter Her Heart, Her Career, And Her World.</p><h3>booklist</h3><p>siddons Has Had A Solid Winning Streak With Her Seductive Portrayals Of Plucky Southern Gals Holding Their Own In Alien Territory, So She's Stayed With A Sure Thing: Smoky O'donnell Is A Pretty, Curvaceous Shanty Irishwoman Straight From The Docks Of Savannah. Smoky Is An Anomaly In Her Small, Angry World: A Young Woman With Ambition, Talent, And A Wide-open Mind. It's 1966, And Change Is In The Air, Especially In The Newly Glamorous Mecca Of Atlanta. Smoky Is Lucky; She's Been Invited To Join The Chummy Staff Of A Hip Little City Magazine. Blunt, Determined, And Passionate, She Soon Finds Herself Caught Between Two Extremes: The Wealthy, Waspish Power Elite And The Volatile Civil-rights Movement. Siddons Devotes A Lot Of Ink To Describing The Conflicting Dynamics Of This Time And Place And Often Seems Overwhelmed By Material We Sense Is Close To Her Heart. In Fact, For The First 100 Pages Or So, She Seems To Be Driving With The Brakes On. When She Does Let Loose, She Treats Us To Some Irresistible Romance As Well As An Unusual, If Cursory, Dramatization Of The Struggle Between The Black Panthers And Followers Of Martin Luther King, Jr. What's Intriguing About Siddons Is How Much She Transcends The Usual Parameters Of Fluff Fiction, Both In Terms Of Literary Finesse And Penetrating Intelligence. Although This Isn't Quite Up To The Caliber Of Her Last Book, Hill Towns , It's Still A Rewarding And Bound-to-be-popular Page-turner.</p>",en,https://images.isbndb.com/covers/96/87/9780061099687.jpg,Downtown,Reprint,"Height: 6.75 Inches, Length: 4.1875 Inches, Weight: 0.55 Pounds, Width: 1.024 Inches",512.0,1995,,"['Siddons, Anne Rivers']",Downtown,9780061099687,7.99,Mass Market Paperback,0061099686,0061099686,"[{'isbn': '9780061743474', 'binding': 'print'}]",{'ePub': '006174347X'}
9,McGraw-Hill,"LEADERSHIP STRATEGIES BEHIND ONE OF THE MOST POPULAR PRESIDENTS IN HISTORY  How the Commander-in-Chief commands  George W. Bush has surprised even his harshest critics with his leadership talents and discipline. As this country's first MBA president, Bush formed his unique leadership style managing businesses, not government offices. Team Bush is the first book to explore these unique methods and tactics he has employed to become one of the nation's most popular commanders in chief in recent history.  From 'hiring' the most diverse and effective cabinets in history, to dealing with the crisis and war sparked by the events of September 11th, this compelling leadership book takes readers into the mind and methods of America's 43rd president, and shows managers how these methods can be used to boost productivity in their own organizations.  This fast-paced book pulls no punches as it showcases President Bush's successes and strengths while detailing his mistakes and weaknesses. Focusing on the actual events and outcomes of Bush's first two years in office, it discusses:   The strategy behind Bush's coup in the mid-term election  Lessons learned from his managing of the September 11th crisis  How Bush recognizes and learns from his very public mistakes  ",en,https://images.isbndb.com/covers/63/37/9780071416337.jpg,Team Bush : Leadership Lessons from the Bush White House,1,"Height: 8.5 Inches, Length: 5.7 Inches, Weight: 0.95460159446 Pounds, Width: 0.92 Inches",224.0,2003,"['Leadership', 'Leadership', 'General', 'BUS071000', 'cs.bs_cmm.ldr_com', 'cs.mgmt.leader']","['Kettl, Donald F.', 'Kettl, Donald']",Team Bush : Leadership Lessons from the Bush White House,9780071416337,19.95,Hardcover,0071416331,0071416331,"[{'isbn': '9780071428408', 'binding': 'print'}]",{'eBook': '0071428402'}
